Season,Nest,Tinytag,Time,Temperature
1,7,896691,12/21/2019 21:00,29.489
1,7,896691,12/21/2019 22:00,29.486
1,7,896691,12/21/2019 23:00,29.485
1,7,896691,12/22/2019 00:00,29.483
1,7,896691,12/22/2019 01:00,29.483
1,7,896691,12/22/2019 02:00,29.483
1,7,896691,12/22/2019 03:00,29.483
1,7,896691,12/22/2019 04:00,29.485
1,7,896691,12/22/2019 05:00,29.488
1,7,896691,12/22/2019 06:00,29.491
1,7,896691,12/22/2019 07:00,29.494
1,7,896691,12/22/2019 08:00,29.497
1,7,896691,12/22/2019 09:00,29.501
1,7,896691,12/22/2019 10:00,29.506
1,7,896691,12/22/2019 11:00,29.51
1,7,896691,12/22/2019 12:00,29.515
1,7,896691,12/22/2019 13:00,29.519
1,7,896691,12/22/2019 14:00,29.524
1,7,896691,12/22/2019 15:00,29.528
1,7,896691,12/22/2019 16:00,29.533
1,7,896691,12/22/2019 17:00,29.537
1,7,896691,12/22/2019 18:00,29.542
1,7,896691,12/22/2019 19:00,29.547
1,7,896691,12/22/2019 20:00,29.55
1,7,896691,12/22/2019 21:00,29.553
1,7,896691,12/22/2019 22:00,29.556
1,7,896691,12/22/2019 23:00,29.562
1,7,896691,12/23/2019 00:00,29.566
1,7,896691,12/23/2019 01:00,29.572
1,7,896691,12/23/2019 02:00,29.577
1,7,896691,12/23/2019 03:00,29.584
1,7,896691,12/23/2019 04:00,29.592
1,7,896691,12/23/2019 05:00,29.601
1,7,896691,12/23/2019 06:00,29.608
1,7,896691,12/23/2019 07:00,29.619
1,7,896691,12/23/2019 08:00,29.628
1,7,896691,12/23/2019 09:00,29.639
1,7,896691,12/23/2019 10:00,29.649
1,7,896691,12/23/2019 11:00,29.66
1,7,896691,12/23/2019 12:00,29.67
1,7,896691,12/23/2019 13:00,29.679
1,7,896691,12/23/2019 14:00,29.69
1,7,896691,12/23/2019 15:00,29.699
1,7,896691,12/23/2019 16:00,29.708
1,7,896691,12/23/2019 17:00,29.717
1,7,896691,12/23/2019 18:00,29.726
1,7,896691,12/23/2019 19:00,29.734
1,7,896691,12/23/2019 20:00,29.741
1,7,896691,12/23/2019 21:00,29.748
1,7,896691,12/23/2019 22:00,29.749
1,7,896691,12/23/2019 23:00,29.749
1,7,896691,12/24/2019 00:00,29.748
1,7,896691,12/24/2019 01:00,29.748
1,7,896691,12/24/2019 02:00,29.748
1,7,896691,12/24/2019 03:00,29.746
1,7,896691,12/24/2019 04:00,29.745
1,7,896691,12/24/2019 05:00,29.743
1,7,896691,12/24/2019 06:00,29.74
1,7,896691,12/24/2019 07:00,29.735
1,7,896691,12/24/2019 08:00,29.728
1,7,896691,12/24/2019 09:00,29.72
1,7,896691,12/24/2019 10:00,29.71
1,7,896691,12/24/2019 11:00,29.698
1,7,896691,12/24/2019 12:00,29.684
1,7,896691,12/24/2019 13:00,29.67
1,7,896691,12/24/2019 14:00,29.657
1,7,896691,12/24/2019 15:00,29.64
1,7,896691,12/24/2019 16:00,29.625
1,7,896691,12/24/2019 17:00,29.61
1,7,896691,12/24/2019 18:00,29.595
1,7,896691,12/24/2019 19:00,29.58
1,7,896691,12/24/2019 20:00,29.565
1,7,896691,12/24/2019 21:00,29.55
1,7,896691,12/24/2019 22:00,29.536
1,7,896691,12/24/2019 23:00,29.521
1,7,896691,12/25/2019 00:00,29.509
1,7,896691,12/25/2019 01:00,29.495
1,7,896691,12/25/2019 02:00,29.483
1,7,896691,12/25/2019 03:00,29.473
1,7,896691,12/25/2019 04:00,29.46
1,7,896691,12/25/2019 05:00,29.451
1,7,896691,12/25/2019 06:00,29.441
1,7,896691,12/25/2019 07:00,29.432
1,7,896691,12/25/2019 08:00,29.424
1,7,896691,12/25/2019 09:00,29.417
1,7,896691,12/25/2019 10:00,29.408
1,7,896691,12/25/2019 11:00,29.399
1,7,896691,12/25/2019 12:00,29.393
1,7,896691,12/25/2019 13:00,29.387
1,7,896691,12/25/2019 14:00,29.379
1,7,896691,12/25/2019 15:00,29.373
1,7,896691,12/25/2019 16:00,29.367
1,7,896691,12/25/2019 17:00,29.361
1,7,896691,12/25/2019 18:00,29.355
1,7,896691,12/25/2019 19:00,29.349
1,7,896691,12/25/2019 20:00,29.344
1,7,896691,12/25/2019 21:00,29.34
1,7,896691,12/25/2019 22:00,29.335
1,7,896691,12/25/2019 23:00,29.334
1,7,896691,12/26/2019 00:00,29.331
1,7,896691,12/26/2019 01:00,29.329
1,7,896691,12/26/2019 02:00,29.329
1,7,896691,12/26/2019 03:00,29.331
1,7,896691,12/26/2019 04:00,29.334
1,7,896691,12/26/2019 05:00,29.337
1,7,896691,12/26/2019 06:00,29.341
1,7,896691,12/26/2019 07:00,29.347
1,7,896691,12/26/2019 08:00,29.353
1,7,896691,12/26/2019 09:00,29.361
1,7,896691,12/26/2019 10:00,29.37
1,7,896691,12/26/2019 11:00,29.378
1,7,896691,12/26/2019 12:00,29.387
1,7,896691,12/26/2019 13:00,29.396
1,7,896691,12/26/2019 14:00,29.405
1,7,896691,12/26/2019 15:00,29.412
1,7,896691,12/26/2019 16:00,29.421
1,7,896691,12/26/2019 17:00,29.429
1,7,896691,12/26/2019 18:00,29.436
1,7,896691,12/26/2019 19:00,29.444
1,7,896691,12/26/2019 20:00,29.451
1,7,896691,12/26/2019 21:00,29.459
1,7,896691,12/26/2019 22:00,29.467
1,7,896691,12/26/2019 23:00,29.473
1,7,896691,12/27/2019 00:00,29.48
1,7,896691,12/27/2019 01:00,29.488
1,7,896691,12/27/2019 02:00,29.495
1,7,896691,12/27/2019 03:00,29.504
1,7,896691,12/27/2019 04:00,29.513
1,7,896691,12/27/2019 05:00,29.522
1,7,896691,12/27/2019 06:00,29.53
1,7,896691,12/27/2019 07:00,29.54
1,7,896691,12/27/2019 08:00,29.551
1,7,896691,12/27/2019 09:00,29.56
1,7,896691,12/27/2019 10:00,29.571
1,7,896691,12/27/2019 11:00,29.58
1,7,896691,12/27/2019 12:00,29.589
1,7,896691,12/27/2019 13:00,29.598
1,7,896691,12/27/2019 14:00,29.607
1,7,896691,12/27/2019 15:00,29.616
1,7,896691,12/27/2019 16:00,29.622
1,7,896691,12/27/2019 17:00,29.63
1,7,896691,12/27/2019 18:00,29.639
1,7,896691,12/27/2019 19:00,29.645
1,7,896691,12/27/2019 20:00,29.649
1,7,896691,12/27/2019 21:00,29.657
1,7,896691,12/27/2019 22:00,29.664
1,7,896691,12/27/2019 23:00,29.669
1,7,896691,12/28/2019 00:00,29.676
1,7,896691,12/28/2019 01:00,29.686
1,7,896691,12/28/2019 02:00,29.693
1,7,896691,12/28/2019 03:00,29.702
1,7,896691,12/28/2019 04:00,29.713
1,7,896691,12/28/2019 05:00,29.723
1,7,896691,12/28/2019 06:00,29.734
1,7,896691,12/28/2019 07:00,29.746
1,7,896691,12/28/2019 08:00,29.758
1,7,896691,12/28/2019 09:00,29.77
1,7,896691,12/28/2019 10:00,29.784
1,7,896691,12/28/2019 11:00,29.797
1,7,896691,12/28/2019 12:00,29.808
1,7,896691,12/28/2019 13:00,29.82
1,7,896691,12/28/2019 14:00,29.832
1,7,896691,12/28/2019 15:00,29.844
1,7,896691,12/28/2019 16:00,29.855
1,7,896691,12/28/2019 17:00,29.866
1,7,896691,12/28/2019 18:00,29.875
1,7,896691,12/28/2019 19:00,29.885
1,7,896691,12/28/2019 20:00,29.894
1,7,896691,12/28/2019 21:00,29.903
1,7,896691,12/28/2019 22:00,29.913
1,7,896691,12/28/2019 23:00,29.922
1,7,896691,12/29/2019 00:00,29.931
1,7,896691,12/29/2019 01:00,29.94
1,7,896691,12/29/2019 02:00,29.949
1,7,896691,12/29/2019 03:00,29.96
1,7,896691,12/29/2019 04:00,29.97
1,7,896691,12/29/2019 05:00,29.981
1,7,896691,12/29/2019 06:00,29.993
1,7,896691,12/29/2019 07:00,30.005
1,7,896691,12/29/2019 08:00,30.017
1,7,896691,12/29/2019 09:00,30.029
1,7,896691,12/29/2019 10:00,30.041
1,7,896691,12/29/2019 11:00,30.054
1,7,896691,12/29/2019 12:00,30.066
1,7,896691,12/29/2019 13:00,30.076
1,7,896691,12/29/2019 14:00,30.087
1,7,896691,12/29/2019 15:00,30.098
1,7,896691,12/29/2019 16:00,30.107
1,7,896691,12/29/2019 17:00,30.117
1,7,896691,12/29/2019 18:00,30.125
1,7,896691,12/29/2019 19:00,30.134
1,7,896691,12/29/2019 20:00,30.14
1,7,896691,12/29/2019 21:00,30.148
1,7,896691,12/29/2019 22:00,30.155
1,7,896691,12/29/2019 23:00,30.163
1,7,896691,12/30/2019 00:00,30.169
1,7,896691,12/30/2019 01:00,30.177
1,7,896691,12/30/2019 02:00,30.184
1,7,896691,12/30/2019 03:00,30.193
1,7,896691,12/30/2019 04:00,30.201
1,7,896691,12/30/2019 05:00,30.21
1,7,896691,12/30/2019 06:00,30.221
1,7,896691,12/30/2019 07:00,30.23
1,7,896691,12/30/2019 08:00,30.24
1,7,896691,12/30/2019 09:00,30.251
1,7,896691,12/30/2019 10:00,30.262
1,7,896691,12/30/2019 11:00,30.271
1,7,896691,12/30/2019 12:00,30.28
1,7,896691,12/30/2019 13:00,30.29
1,7,896691,12/30/2019 14:00,30.3
1,7,896691,12/30/2019 15:00,30.307
1,7,896691,12/30/2019 16:00,30.315
1,7,896691,12/30/2019 17:00,30.322
1,7,896691,12/30/2019 18:00,30.328
1,7,896691,12/30/2019 19:00,30.335
1,7,896691,12/30/2019 20:00,30.341
1,7,896691,12/30/2019 21:00,30.345
1,7,896691,12/30/2019 22:00,30.35
1,7,896691,12/30/2019 23:00,30.356
1,7,896691,12/31/2019 00:00,30.36
1,7,896691,12/31/2019 01:00,30.365
1,7,896691,12/31/2019 02:00,30.371
1,7,896691,12/31/2019 03:00,30.377
1,7,896691,12/31/2019 04:00,30.385
1,7,896691,12/31/2019 05:00,30.391
1,7,896691,12/31/2019 06:00,30.398
1,7,896691,12/31/2019 07:00,30.408
1,7,896691,12/31/2019 08:00,30.415
1,7,896691,12/31/2019 09:00,30.424
1,7,896691,12/31/2019 10:00,30.432
1,7,896691,12/31/2019 11:00,30.44
1,7,896691,12/31/2019 12:00,30.449
1,7,896691,12/31/2019 13:00,30.456
1,7,896691,12/31/2019 14:00,30.462
1,7,896691,12/31/2019 15:00,30.47
1,7,896691,12/31/2019 16:00,30.476
1,7,896691,12/31/2019 17:00,30.482
1,7,896691,12/31/2019 18:00,30.487
1,7,896691,12/31/2019 19:00,30.491
1,7,896691,12/31/2019 20:00,30.496
1,7,896691,12/31/2019 21:00,30.501
1,7,896691,12/31/2019 22:00,30.505
1,7,896691,12/31/2019 23:00,30.51
1,7,896691,1/1/2020 00:00,30.514
1,7,896691,1/1/2020 01:00,30.519
1,7,896691,1/1/2020 02:00,30.523
1,7,896691,1/1/2020 03:00,30.529
1,7,896691,1/1/2020 04:00,30.536
1,7,896691,1/1/2020 05:00,30.543
1,7,896691,1/1/2020 06:00,30.551
1,7,896691,1/1/2020 07:00,30.558
1,7,896691,1/1/2020 08:00,30.566
1,7,896691,1/1/2020 09:00,30.575
1,7,896691,1/1/2020 10:00,30.584
1,7,896691,1/1/2020 11:00,30.592
1,7,896691,1/1/2020 12:00,30.601
1,7,896691,1/1/2020 13:00,30.609
1,7,896691,1/1/2020 14:00,30.616
1,7,896691,1/1/2020 15:00,30.624
1,7,896691,1/1/2020 16:00,30.632
1,7,896691,1/1/2020 17:00,30.636
1,7,896691,1/1/2020 18:00,30.642
1,7,896691,1/1/2020 19:00,30.648
1,7,896691,1/1/2020 20:00,30.653
1,7,896691,1/1/2020 21:00,30.658
1,7,896691,1/1/2020 22:00,30.664
1,7,896691,1/1/2020 23:00,30.668
1,7,896691,1/2/2020 00:00,30.673
1,7,896691,1/2/2020 01:00,30.679
1,7,896691,1/2/2020 02:00,30.683
1,7,896691,1/2/2020 03:00,30.69
1,7,896691,1/2/2020 04:00,30.697
1,7,896691,1/2/2020 05:00,30.705
1,7,896691,1/2/2020 06:00,30.711
1,7,896691,1/2/2020 07:00,30.719
1,7,896691,1/2/2020 08:00,30.728
1,7,896691,1/2/2020 09:00,30.735
1,7,896691,1/2/2020 10:00,30.745
1,7,896691,1/2/2020 11:00,30.752
1,7,896691,1/2/2020 12:00,30.761
1,7,896691,1/2/2020 13:00,30.772
1,7,896691,1/2/2020 14:00,30.783
1,7,896691,1/2/2020 15:00,30.793
1,7,896691,1/2/2020 16:00,30.803
1,7,896691,1/2/2020 17:00,30.81
1,7,896691,1/2/2020 18:00,30.815
1,7,896691,1/2/2020 19:00,30.818
1,7,896691,1/2/2020 20:00,30.819
1,7,896691,1/2/2020 21:00,30.818
1,7,896691,1/2/2020 22:00,30.816
1,7,896691,1/2/2020 23:00,30.813
1,7,896691,1/3/2020 00:00,30.809
1,7,896691,1/3/2020 01:00,30.801
1,7,896691,1/3/2020 02:00,30.793
1,7,896691,1/3/2020 03:00,30.787
1,7,896691,1/3/2020 04:00,30.78
1,7,896691,1/3/2020 05:00,30.772
1,7,896691,1/3/2020 06:00,30.763
1,7,896691,1/3/2020 07:00,30.755
1,7,896691,1/3/2020 08:00,30.746
1,7,896691,1/3/2020 09:00,30.738
1,7,896691,1/3/2020 10:00,30.729
1,7,896691,1/3/2020 11:00,30.72
1,7,896691,1/3/2020 12:00,30.711
1,7,896691,1/3/2020 13:00,30.702
1,7,896691,1/3/2020 14:00,30.693
1,7,896691,1/3/2020 15:00,30.682
1,7,896691,1/3/2020 16:00,30.673
1,7,896691,1/3/2020 17:00,30.662
1,7,896691,1/3/2020 18:00,30.651
1,7,896691,1/3/2020 19:00,30.641
1,7,896691,1/3/2020 20:00,30.632
1,7,896691,1/3/2020 21:00,30.622
1,7,896691,1/3/2020 22:00,30.612
1,7,896691,1/3/2020 23:00,30.604
1,7,896691,1/4/2020 00:00,30.597
1,7,896691,1/4/2020 01:00,30.59
1,7,896691,1/4/2020 02:00,30.586
1,7,896691,1/4/2020 03:00,30.581
1,7,896691,1/4/2020 04:00,30.58
1,7,896691,1/4/2020 05:00,30.578
1,7,896691,1/4/2020 06:00,30.577
1,7,896691,1/4/2020 07:00,30.578
1,7,896691,1/4/2020 08:00,30.58
1,7,896691,1/4/2020 09:00,30.583
1,7,896691,1/4/2020 10:00,30.584
1,7,896691,1/4/2020 11:00,30.587
1,7,896691,1/4/2020 12:00,30.592
1,7,896691,1/4/2020 13:00,30.595
1,7,896691,1/4/2020 14:00,30.598
1,7,896691,1/4/2020 15:00,30.601
1,7,896691,1/4/2020 16:00,30.603
1,7,896691,1/4/2020 17:00,30.604
1,7,896691,1/4/2020 18:00,30.607
1,7,896691,1/4/2020 19:00,30.609
1,7,896691,1/4/2020 20:00,30.609
1,7,896691,1/4/2020 21:00,30.61
1,7,896691,1/4/2020 22:00,30.612
1,7,896691,1/4/2020 23:00,30.613
1,7,896691,1/5/2020 00:00,30.616
1,7,896691,1/5/2020 01:00,30.619
1,7,896691,1/5/2020 02:00,30.622
1,7,896691,1/5/2020 03:00,30.627
1,7,896691,1/5/2020 04:00,30.633
1,7,896691,1/5/2020 05:00,30.639
1,7,896691,1/5/2020 06:00,30.647
1,7,896691,1/5/2020 07:00,30.654
1,7,896691,1/5/2020 08:00,30.664
1,7,896691,1/5/2020 09:00,30.673
1,7,896691,1/5/2020 10:00,30.682
1,7,896691,1/5/2020 11:00,30.693
1,7,896691,1/5/2020 12:00,30.7
1,7,896691,1/5/2020 13:00,30.711
1,7,896691,1/5/2020 14:00,30.72
1,7,896691,1/5/2020 15:00,30.728
1,7,896691,1/5/2020 16:00,30.735
1,7,896691,1/5/2020 17:00,30.743
1,7,896691,1/5/2020 18:00,30.751
1,7,896691,1/5/2020 19:00,30.757
1,7,896691,1/5/2020 20:00,30.763
1,7,896691,1/5/2020 21:00,30.769
1,7,896691,1/5/2020 22:00,30.774
1,7,896691,1/5/2020 23:00,30.78
1,7,896691,1/6/2020 00:00,30.786
1,7,896691,1/6/2020 01:00,30.792
1,7,896691,1/6/2020 02:00,30.798
1,7,896691,1/6/2020 03:00,30.806
1,7,896691,1/6/2020 04:00,30.812
1,7,896691,1/6/2020 05:00,30.821
1,7,896691,1/6/2020 06:00,30.829
1,7,896691,1/6/2020 07:00,30.835
1,7,896691,1/6/2020 08:00,30.845
1,7,896691,1/6/2020 09:00,30.853
1,7,896691,1/6/2020 10:00,30.862
1,7,896691,1/6/2020 11:00,30.87
1,7,896691,1/6/2020 12:00,30.878
1,7,896691,1/6/2020 13:00,30.884
1,7,896691,1/6/2020 14:00,30.89
1,7,896691,1/6/2020 15:00,30.894
1,7,896691,1/6/2020 16:00,30.899
1,7,896691,1/6/2020 17:00,30.904
1,7,896691,1/6/2020 18:00,30.907
1,7,896691,1/6/2020 19:00,30.91
1,7,896691,1/6/2020 20:00,30.911
1,7,896691,1/6/2020 21:00,30.913
1,7,896691,1/6/2020 22:00,30.913
1,7,896691,1/6/2020 23:00,30.913
1,7,896691,1/7/2020 00:00,30.914
1,7,896691,1/7/2020 01:00,30.914
1,7,896691,1/7/2020 02:00,30.914
1,7,896691,1/7/2020 03:00,30.916
1,7,896691,1/7/2020 04:00,30.917
1,7,896691,1/7/2020 05:00,30.919
1,7,896691,1/7/2020 06:00,30.92
1,7,896691,1/7/2020 07:00,30.922
1,7,896691,1/7/2020 08:00,30.923
1,7,896691,1/7/2020 09:00,30.925
1,7,896691,1/7/2020 10:00,30.93
1,7,896691,1/7/2020 11:00,30.931
1,7,896691,1/7/2020 12:00,30.933
1,7,896691,1/7/2020 13:00,30.934
1,7,896691,1/7/2020 14:00,30.934
1,7,896691,1/7/2020 15:00,30.934
1,7,896691,1/7/2020 16:00,30.934
1,7,896691,1/7/2020 17:00,30.934
1,7,896691,1/7/2020 18:00,30.931
1,7,896691,1/7/2020 19:00,30.928
1,7,896691,1/7/2020 20:00,30.925
1,7,896691,1/7/2020 21:00,30.92
1,7,896691,1/7/2020 22:00,30.914
1,7,896691,1/7/2020 23:00,30.908
1,7,896691,1/8/2020 00:00,30.902
1,7,896691,1/8/2020 01:00,30.894
1,7,896691,1/8/2020 02:00,30.89
1,7,896691,1/8/2020 03:00,30.882
1,7,896691,1/8/2020 04:00,30.874
1,7,896691,1/8/2020 05:00,30.867
1,7,896691,1/8/2020 06:00,30.861
1,7,896691,1/8/2020 07:00,30.855
1,7,896691,1/8/2020 08:00,30.848
1,7,896691,1/8/2020 09:00,30.842
1,7,896691,1/8/2020 10:00,30.836
1,7,896691,1/8/2020 11:00,30.83
1,7,896691,1/8/2020 12:00,30.822
1,7,896691,1/8/2020 13:00,30.818
1,7,896691,1/8/2020 14:00,30.81
1,7,896691,1/8/2020 15:00,30.806
1,7,896691,1/8/2020 16:00,30.8
1,7,896691,1/8/2020 17:00,30.79
1,7,896691,1/8/2020 18:00,30.786
1,7,896691,1/8/2020 19:00,30.777
1,7,896691,1/8/2020 20:00,30.771
1,7,896691,1/8/2020 21:00,30.763
1,7,896691,1/8/2020 22:00,30.757
1,7,896691,1/8/2020 23:00,30.751
1,7,896691,1/9/2020 00:00,30.745
1,7,896691,1/9/2020 01:00,30.737
1,7,896691,1/9/2020 02:00,30.732
1,7,896691,1/9/2020 03:00,30.726
1,7,896691,1/9/2020 04:00,30.722
1,7,896691,1/9/2020 05:00,30.717
1,7,896691,1/9/2020 06:00,30.712
1,7,896691,1/9/2020 07:00,30.709
1,7,896691,1/9/2020 08:00,30.705
1,7,896691,1/9/2020 09:00,30.702
1,7,896691,1/9/2020 10:00,30.697
1,7,896691,1/9/2020 11:00,30.697
1,7,896691,1/9/2020 12:00,30.693
1,7,896691,1/9/2020 13:00,30.688
1,7,896691,1/9/2020 14:00,30.687
1,7,896691,1/9/2020 15:00,30.683
1,7,896691,1/9/2020 16:00,30.68
1,7,896691,1/9/2020 17:00,30.676
1,7,896691,1/9/2020 18:00,30.673
1,7,896691,1/9/2020 19:00,30.67
1,7,896691,1/9/2020 20:00,30.664
1,7,896691,1/9/2020 21:00,30.662
1,7,896691,1/9/2020 22:00,30.659
1,7,896691,1/9/2020 23:00,30.656
1,7,896691,1/10/2020 00:00,30.654
1,7,896691,1/10/2020 01:00,30.653
1,7,896691,1/10/2020 02:00,30.654
1,7,896691,1/10/2020 03:00,30.656
1,7,896691,1/10/2020 04:00,30.659
1,7,896691,1/10/2020 05:00,30.662
1,7,896691,1/10/2020 06:00,30.668
1,7,896691,1/10/2020 07:00,30.673
1,7,896691,1/10/2020 08:00,30.68
1,7,896691,1/10/2020 09:00,30.69
1,7,896691,1/10/2020 10:00,30.696
1,7,896691,1/10/2020 11:00,30.703
1,7,896691,1/10/2020 12:00,30.711
1,7,896691,1/10/2020 13:00,30.72
1,7,896691,1/10/2020 14:00,30.728
1,7,896691,1/10/2020 15:00,30.734
1,7,896691,1/10/2020 16:00,30.742
1,7,896691,1/10/2020 17:00,30.749
1,7,896691,1/10/2020 18:00,30.755
1,7,896691,1/10/2020 19:00,30.761
1,7,896691,1/10/2020 20:00,30.766
1,7,896691,1/10/2020 21:00,30.772
1,7,896691,1/10/2020 22:00,30.78
1,7,896691,1/10/2020 23:00,30.786
1,7,896691,1/11/2020 00:00,30.793
1,7,896691,1/11/2020 01:00,30.8
1,7,896691,1/11/2020 02:00,30.812
1,7,896691,1/11/2020 03:00,30.822
1,7,896691,1/11/2020 04:00,30.835
1,7,896691,1/11/2020 05:00,30.841
1,7,896691,1/11/2020 06:00,30.856
1,7,896691,1/11/2020 07:00,30.87
1,7,896691,1/11/2020 08:00,30.882
1,7,896691,1/11/2020 09:00,30.896
1,7,896691,1/11/2020 10:00,30.913
1,7,896691,1/11/2020 11:00,30.926
1,7,896691,1/11/2020 12:00,30.94
1,7,896691,1/11/2020 13:00,30.954
1,7,896691,1/11/2020 14:00,30.965
1,7,896691,1/11/2020 15:00,30.982
1,7,896691,1/11/2020 16:00,30.992
1,7,896691,1/11/2020 17:00,31.006
1,7,896691,1/11/2020 18:00,31.017
1,7,896691,1/11/2020 19:00,31.027
1,7,896691,1/11/2020 20:00,31.04
1,7,896691,1/11/2020 21:00,31.049
1,7,896691,1/11/2020 22:00,31.058
1,7,896691,1/11/2020 23:00,31.07
1,7,896691,1/12/2020 00:00,31.078
1,7,896691,1/12/2020 01:00,31.087
1,7,896691,1/12/2020 02:00,31.101
1,7,896691,1/12/2020 03:00,31.112
1,7,896691,1/12/2020 04:00,31.122
1,7,896691,1/12/2020 05:00,31.138
1,7,896691,1/12/2020 06:00,31.152
1,7,896691,1/12/2020 07:00,31.165
1,7,896691,1/12/2020 08:00,31.179
1,7,896691,1/12/2020 09:00,31.195
1,7,896691,1/12/2020 10:00,31.208
1,7,896691,1/12/2020 11:00,31.225
1,7,896691,1/12/2020 12:00,31.239
1,7,896691,1/12/2020 13:00,31.254
1,7,896691,1/12/2020 14:00,31.267
1,7,896691,1/12/2020 15:00,31.279
1,7,896691,1/12/2020 16:00,31.291
1,7,896691,1/12/2020 17:00,31.304
1,7,896691,1/12/2020 18:00,31.311
1,7,896691,1/12/2020 19:00,31.325
1,7,896691,1/12/2020 20:00,31.334
1,7,896691,1/12/2020 21:00,31.342
1,7,896691,1/12/2020 22:00,31.348
1,7,896691,1/12/2020 23:00,31.36
1,7,896691,1/13/2020 00:00,31.37
1,7,896691,1/13/2020 01:00,31.376
1,7,896691,1/13/2020 02:00,31.385
1,7,896691,1/13/2020 03:00,31.397
1,7,896691,1/13/2020 04:00,31.406
1,7,896691,1/13/2020 05:00,31.419
1,7,896691,1/13/2020 06:00,31.43
1,7,896691,1/13/2020 07:00,31.442
1,7,896691,1/13/2020 08:00,31.456
1,7,896691,1/13/2020 09:00,31.47
1,7,896691,1/13/2020 10:00,31.483
1,7,896691,1/13/2020 11:00,31.496
1,7,896691,1/13/2020 12:00,31.51
1,7,896691,1/13/2020 13:00,31.522
1,7,896691,1/13/2020 14:00,31.531
1,7,896691,1/13/2020 15:00,31.54
1,7,896691,1/13/2020 16:00,31.545
1,7,896691,1/13/2020 17:00,31.55
1,7,896691,1/13/2020 18:00,31.551
1,7,896691,1/13/2020 19:00,31.553
1,7,896691,1/13/2020 20:00,31.554
1,7,896691,1/13/2020 21:00,31.553
1,7,896691,1/13/2020 22:00,31.55
1,7,896691,1/13/2020 23:00,31.548
1,7,896691,1/14/2020 00:00,31.543
1,7,896691,1/14/2020 01:00,31.542
1,7,896691,1/14/2020 02:00,31.539
1,7,896691,1/14/2020 03:00,31.537
1,7,896691,1/14/2020 04:00,31.534
1,7,896691,1/14/2020 05:00,31.533
1,7,896691,1/14/2020 06:00,31.531
1,7,896691,1/14/2020 07:00,31.53
1,7,896691,1/14/2020 08:00,31.53
1,7,896691,1/14/2020 09:00,31.528
1,7,896691,1/14/2020 10:00,31.528
1,7,896691,1/14/2020 11:00,31.526
1,7,896691,1/14/2020 12:00,31.526
1,7,896691,1/14/2020 13:00,31.525
1,7,896691,1/14/2020 14:00,31.525
1,7,896691,1/14/2020 15:00,31.523
1,7,896691,1/14/2020 16:00,31.525
1,7,896691,1/14/2020 17:00,31.522
1,7,896691,1/14/2020 18:00,31.52
1,7,896691,1/14/2020 19:00,31.519
1,7,896691,1/14/2020 20:00,31.519
1,7,896691,1/14/2020 21:00,31.519
1,7,896691,1/14/2020 22:00,31.517
1,7,896691,1/14/2020 23:00,31.52
1,7,896691,1/15/2020 00:00,31.52
1,7,896691,1/15/2020 01:00,31.525
1,7,896691,1/15/2020 02:00,31.526
1,7,896691,1/15/2020 03:00,31.534
1,7,896691,1/15/2020 04:00,31.542
1,7,896691,1/15/2020 05:00,31.55
1,7,896691,1/15/2020 06:00,31.56
1,7,896691,1/15/2020 07:00,31.571
1,7,896691,1/15/2020 08:00,31.583
1,7,896691,1/15/2020 09:00,31.596
1,7,896691,1/15/2020 10:00,31.61
